59,Match5,inTournament,TournamentFriendly
60,Match5,inCity,CityGlasgow
61,Match5,inCountry,CountryScotland
62,Match5,isNeutral,False
63,Match5,atYear,1876
64,Match5,homeScores,4
65,Match5,awayScores,0
66,TeamEngland,isHomeTeam,Match6
67,TeamScotland,isAwayTeam,Match6
68,TeamEngland,loserOf,Match6
69,TeamScotland,winnerOf,Match6
70,Match6,inTournament,TournamentFriendly
71,Match6,inCity,CityLondon
72,Match6,inCountry,CountryEngland
73,Match6,isNeutral,False
74,Match6,atYear,1877
75,Match6,homeScores,1
76,Match6,awayScores,3
77,TeamWales,isHomeTeam,Match7
78,TeamScotland,isAwayTeam,Match7
79,TeamWales,loserOf,Match7
80,TeamScotland,winnerOf,Match7
81,Match7,inTournament,TournamentFriendly
82,Match7,inCity,CityWrexham
83,Match7,inCountry,CountryWales
84,Match7,isNeutral,False
85,Match7,atYear,1877
86,Match7,homeScores,0
87,Match7,awayScores,2
88,TeamScotland,isHomeTeam,Match8
89,TeamEngland,isAwayTeam,Match8
90,TeamScotland,winnerOf,Match8
91,TeamEngland,loserOf,Match8
92,Match8,inTournament,TournamentFriendly
93,Match8,inCity,CityGlasgow
94,Match8,inCountry,CountryScotland
95,Match8,isNeutral,False
96,Match8,atYear,1878
97,Match8,homeScores,7
98,Match8,awayScores,2
99,TeamScotland,isHomeTeam,Match9
100,TeamWales,isAwayTeam,Match9
101,TeamScotland,winnerOf,Match9
102,TeamWales,loserOf,Match9
103,Match9,inTournament,TournamentFriendly
104,Match9,inCity,CityGlasgow
105,Match9,inCountry,CountryScotland
106,Match9,isNeutral,False
107,Match9,atYear,1878
108,Match9,homeScores,9
109,Match9,awayScores,0
110,TeamEngland,isHomeTeam,Match10
111,TeamWales,isAwayTeam,Match10
112,TeamEngland,winnerOf,Match10
113,TeamWales,loserOf,Match10
114,Match10,inTournament,TournamentFriendly
115,Match10,inCity,CityLondon
116,Match10,inCountry,CountryEngland
117,Match10,isNeutral,False
118,Match10,atYear,1879
119,Match10,homeScores,2
120,Match10,awayScores,1
121,TeamEngland,isHomeTeam,Match11
122,TeamScotland,isAwayTeam,Match11
123,TeamEngland,winnerOf,Match11
124,TeamScotland,loserOf,Match11
125,Match11,inTournament,TournamentFriendly
126,Match11,inCity,CityLondon
127,Match11,inCountry,CountryEngland
128,Match11,isNeutral,False
129,Match11,atYear,1879
130,Match11,homeScores,5
131,Match11,awayScores,4
132,TeamWales,isHomeTeam,Match12
133,TeamScotland,isAwayTeam,Match12
134,TeamWales,loserOf,Match12
135,TeamScotland,winnerOf,Match12
136,Match12,inTournament,TournamentFriendly
137,Match12,inCity,CityWrexham
138,Match12,inCountry,CountryWales
139,Match12,isNeutral,False
140,Match12,atYear,1879
141,Match12,homeScores,0
142,Match12,awayScores,3
143,TeamScotland,isHomeTeam,Match13
144,TeamEngland,isAwayTeam,Match13
145,TeamScotland,winnerOf,Match13
146,TeamEngland,loserOf,Match13
147,Match13,inTournament,TournamentFriendly
148,Match13,inCity,CityGlasgow
149,Match13,inCountry,CountryScotland
150,Match13,isNeutral,False
151,Match13,atYear,1880
152,Match13,homeScores,5
153,Match13,awayScores,4
154,TeamWales,isHomeTeam,Match14
155,TeamEngland,isAwayTeam,Match14
156,TeamWales,loserOf,Match14
157,TeamEngland,winnerOf,Match14
158,Match14,inTournament,TournamentFriendly
159,Match14,inCity,CityWrexham
160,Match14,inCountry,CountryWales
161,Match14,isNeutral,False
162,Match14,atYear,1880
163,Match14,homeScores,2
164,Match14,awayScores,3
165,TeamScotland,isHomeTeam,Match15
166,TeamWales,isAwayTeam,Match15
167,TeamScotland,winnerOf,Match15
168,TeamWales,loserOf,Match15
169,Match15,inTournament,TournamentFriendly
170,Match15,inCity,CityGlasgow
171,Match15,inCountry,CountryScotland
172,Match15,isNeutral,False
173,Match15,atYear,1880
174,Match15,homeScores,5
175,Match15,awayScores,1
176,TeamEngland,isHomeTeam,Match16
177,TeamWales,isAwayTeam,Match16
178,TeamEngland,loserOf,Match16
179,TeamWales,winnerOf,Match16
180,Match16,inTournament,TournamentFriendly
181,Match16,inCity,CityBlackburn
182,Match16,inCountry,CountryEngland
183,Match16,isNeutral,False
184,Match16,atYear,1881
185,Match16,homeScores,0
186,Match16,awayScores,1
187,TeamEngland,isHomeTeam,Match17
188,TeamScotland,isAwayTeam,Match17
189,TeamEngland,loserOf,Match17
190,TeamScotland,winnerOf,Match17
191,Match17,inTournament,TournamentFriendly
192,Match17,inCity,CityLondon
193,Match17,inCountry,CountryEngland
194,Match17,isNeutral,False
195,Match17,atYear,1881
196,Match17,homeScores,1
197,Match17,awayScores,6
198,TeamWales,isHomeTeam,Match18
199,TeamScotland,isAwayTeam,Match18
200,TeamWales,loserOf,Match18
201,TeamScotland,winnerOf,Match18
202,Match18,inTournament,TournamentFriendly
203,Match18,inCity,CityWrexham
204,Match18,inCountry,CountryWales
205,Match18,isNeutral,False
206,Match18,atYear,1881
207,Match18,homeScores,1
208,Match18,awayScores,5
209,TeamNorthernIreland,isHomeTeam,Match19
210,TeamEngland,isAwayTeam,Match19
211,TeamNorthernIreland,loserOf,Match19
212,TeamEngland,winnerOf,Match19
213,Match19,inTournament,TournamentFriendly
214,Match19,inCity,CityBelfast
215,Match19,inCountry,CountryRepublicOfIreland
216,Match19,isNeutral,False
217,Match19,atYear,1882
218,Match19,homeScores,0
219,Match19,awayScores,13
220,TeamWales,isHomeTeam,Match20
221,TeamNorthernIreland,isAwayTeam,Match20
222,TeamWales,winnerOf,Match20
223,TeamNorthernIreland,loserOf,Match20
224,Match20,inTournament,TournamentFriendly
225,Match20,inCity,CityWrexham
226,Match20,inCountry,CountryWales
227,Match20,isNeutral,False
228,Match20,atYear,1882
229,Match20,homeScores,7
230,Match20,awayScores,1
231,TeamScotland,isHomeTeam,Match21
232,TeamEngland,isAwayTeam,Match21
233,TeamScotland,winnerOf,Match21
234,TeamEngland,loserOf,Match21
235,Match21,inTournament,TournamentFriendly
236,Match21,inCity,CityGlasgow
237,Match21,inCountry,CountryScotland
238,Match21,isNeutral,False
239,Match21,atYear,1882
240,Match21,homeScores,5
241,Match21,awayScores,1
242,TeamWales,isHomeTeam,Match22
243,TeamEngland,isAwayTeam,Match22
244,TeamWales,winnerOf,Match22
245,TeamEngland,loserOf,Match22
246,Match22,inTournament,TournamentFriendly
247,Match22,inCity,CityWrexham
248,Match22,inCountry,CountryWales
249,Match22,isNeutral,False
